movie_id,title,description,filename
1,ワイルド・スピード　ジェットブレイク,ドム（ヴィン・ディーゼル）は、レティ（ミシェル・ロドリゲス）と幼い息子のブライアンの3人で静かに暮らしていたが、この平穏がいつまでも続くとは思っていなかった。そして、ドムは最も愛する者たちを守るため、否応なく自身の過去の罪と向き合うこととなる。ドムたちは世界を震撼させる陰謀を止めるため、凄腕の殺し屋で一流ドライバーである男と戦うことになる。－なんとそれは、実の弟のジェイコブ（ジョン・シナ）だった。,1.jpg
2,竜とそばかすの姫,高知の自然豊かな村に住む17歳の女子高生・すずは幼い頃に母を事故で亡くし、心に大きな傷を抱えていた。ある日、インターネット上の仮想世界＜Ｕ（ユー）＞に参加し、Ａｓ（アズ）と呼ばれる自分の分身を作ることに。歌えないはずのすずだったが、「ベル」と名付けたＡｓとしては自然と歌うことが出来た。ベルの歌は瞬く間に話題となり、世界中の人気者になっていく。そんなベルの前に現れたのは、「竜」と呼ばれる謎の存在。やがて世界中で巻き起こる、竜の正体探し（アンベイル）。ベルは竜を探し出しその心を救いたいと願うが――。,2.jpg
3,東京リベンジャーズ,人生唯一の彼女だったヒナタが、事故に巻き込まれ命を落とした―不良だった高校までの絶頂期から一変、今はどん底生活を送るタケミチが高校時代へタイムリープし警察も手に負えない最凶の組織“東京卍會”へ潜入。出会った熱い仲間たちと共に、彼らの暴走を止められるのか！？ヒナタを救い逃げ続けた人生を変えるタケミチのリベンジが今、始まる！,3.jpg
4,ゴジラＶＳコング,モンスターの戦いによって壊滅的な被害を受けた地球。人類が各地の再建を計る中、特務機関モナークは未知の土地で危険な任務に挑み、巨大怪獣（タイタン）の故郷＜ルーツ＞の手がかりを掴もうとする。そんな中、ゴジラが深海の暗闇からその姿を現し、世界を再び危機へと陥れていく。その怒りの原因は何なのか。人類は対抗措置として、コングを髑髏島＜スカルアイランド＞から連れ出す。人類の生き残りをかけた争いは、ゴジラ対コングという最強対決を引き起こし、人々は史上最大の激突を目にすることとなる。,4.jpg
5,フリー・ガイ,ルール無用・何でもありのオンライン・ゲーム＜フリー・シティ＞のモブ（背景）キャラとして、平凡で退屈な毎日を繰り返すガイ。ある日、彼は新しい自分に生まれ変わるため、ゲーム内のプログラムや設定を完全に無視して自分勝手に立ち上がる―。ありえないほど“いい人”すぎるヒーローとして。ゲーム史上最大の危機が迫る中、はたしてガイに世界は救えるのか…！？,5.jpg
6,かぐや様は告らせたい　～天才たちの恋愛頭脳戦～　ファイナル,日本を代表する良家の子女と子息が通う、私立・秀知院学園。その最高ランクに位置する生徒会において、学園史上最も白熱する戦いとなった『第68期生徒会長選挙』。白銀御行（平野紫耀）と四宮かぐや（橋本環奈）の選挙戦は終結し、白銀の会長再選は決まったものの、二人の恋愛頭脳戦には決着がつかないままになっていた――。会計・石上優、書記・藤原千花に、新メンバー・会計監査の伊井野ミコを加え、再び集結した生徒会。変わらず好き合っているものの、未だ「告白したほうが負けである――！」という呪縛から逃れられず、神聖なる生徒会室で“いかにして相手に告白させるか”の恋愛バトルを繰り広げていた・・・。,6.jpg
7,ＢａｎＧ　Ｄｒｅａｍ！　ＦＩＬＭ　ＬＩＶＥ,バンドリ！劇場ライブアニメーション「BanG Dream! FILM LIVE 2nd Stage」開催決定！「PoppinParty」「Afterglow」「Pastel＊Palettes」「Roselia」「ハロー、ハッピーワールド！」のおなじみのバンドメンバーに加えて幻想的な世界を奏でる「Morfonica」最強を掲げるロックバンド「RAISE A SUILEN」も出演決定！7つのバンドが目指す、「2nd Stage」は……？,7.jpg
8,キネマの神様,ギャンブル漬けで借金まみれのゴウは妻の淑子と娘の歩にも見放されたダメ親父。そんな彼にも、たった一つだけ愛してやまないものがあった。それは「映画」ー。行きつけの名画座の館主・テラシンとゴウは、かつて撮影所で働く仲間だった。若き日のゴウは助監督として、映写技師のテラシンをはじめ、時代を代表する名監督やスター女優の園子、また撮影所近くの食堂の娘・淑子に囲まれながら夢を追い求め、青春を駆け抜けていた。しかしゴウは初監督作品「キネマの神様」の撮影初日に転落事故で大怪我をし、その作品は幻となってしまう。,8.jpg
9,僕のヒーローアカデミア ＴＨＥ ＭＯＶＩＥ,世代を経るごとに深く混ざりあった“個性”が人類史を終焉に導くとする思想≪個性終末論≫を掲げ、“個性”を「病」と称しながら、世界中の“個性”保持者の殲滅を目論む謎の集団・ヒューマライズ。彼らが世界各国に仕掛けた、“個性”を強制的に暴走させ崩壊に導く爆弾＜個性因子誘発爆弾[イディオトリガーボム]＞から人々を救うため、全世界のプロヒーローと、その下でインターン中だった雄英高校ヒーロー科が招集され、世界選抜ヒーローチームが結成。各地で爆弾の回収任務にあたっていた。,9.jpg
10,映画　太陽の子,1945年の夏。軍の密命を受けた京都帝国大学・物理学研究室の若き科学者・石村修（柳楽優弥）と研究員たちは、原子核爆弾の研究開発を進めていた。研究に没頭する日々の中、建物疎開で家を失った幼馴染の朝倉世津（有村架純）が修の家に居候することに。時を同じくして、修の弟・裕之（三浦春馬）が戦地から一時帰郷し、久しぶりの再会を喜ぶ3人。ひとときの幸せな時間の中で、戦地で裕之が負った深い心の傷を垣間見る修と世津だが、一方で物理学に魅了されていた修も、その裏にある破壊の恐ろしさに葛藤を抱えていた。そんな二人を力強く包み込む世津はただ一人、戦争が終わった後の世界を見据えていた。,10.jpg
11,元カレとツイラクだけは絶対に避けたい件,友人の結婚式のため小型機でインド洋に浮かぶ南の孤島へ向かうことになったサラ。タイミング悪く、偶然乗り合わせたのはかつての恋人で今は気まずい関係のジャクソン。内心穏やかでないものの、目の前に広がる真っ青で美しい海と一面快晴の空に弾む心は抑えられず、空の旅は始まった。しかし、離陸直後上空6000ｍでパイロットが心臓発作により急死してしまう。自動操縦は機能せず、GPSは故障。通信機能も途絶え、前方には追い打ちをかけるように巨大乱気流まで迫る。絶体絶命の窮地に立たされた2人が生き残るためにとったまさかの行動とは――。,11.jpg
12,老後の資金がありません！,後藤篤子（天海祐希）は、家計に無頓着な旦那・章とフリーター娘のまゆみ、大学生の勇人を息子に持つ、節約がモットーの　ごく普通な主婦。夫の給料と自身がパートで稼いだお金をやり繰りし、憧れのブランドバッグも我慢して、コツコツ老後の資金を貯めてきた。篤子には病気の舅と、高級ケアマンションで暮らす姑の芳乃がいた。月々のケアマンションの費用だけでも痛手だったのに、舅が亡くなり、章の妹・志津子と葬式代を誰がいくらを出すかで揉め、結局400万円近くも支払うことに。さらに、パートの契約が更新されず、篤子はクビを言い渡されてしまう…。,12.jpg
13,アイの歌声を聴かせて,景部高等学校に転入してきた謎の美少女、シオンは抜群の運動神経と天真爛漫な性格で学校の人気者になるが・・・実は試験中の【AI】だった！シオンはクラスでいつもひとりぼっちのサトミの前で突然歌い出し、思いもよらない方法でサトミの“幸せ”を叶えようとする。彼女がAIであることを知ってしまったサトミと、幼馴染で機械マニアのトウマ、人気NO.1イケメンのゴッちゃん、気の強いアヤ、柔道部員のサンダーたちは、シオンに振り回されながらも、ひたむきな姿とその歌声に心動かされていく。しかしシオンがサトミのためにとったある行動をきっかけに、大騒動に巻き込まれてしまう――。,13.jpg
14,映画トロピカル～ジュ！プリキュア,わたし、夏海まなつ！ある日、雪の王国・シャンティアから素敵な招待状が届いたんだ！新しく女王になるシャロンのお祝いの式が開かれるんだって！みんなでキラキラに輝く雪の世界へ出発♪うわぁ～、トロピカってる～！人魚の国の女王を目指しているローラは、シャロンと仲良くなってきれいな指輪をプレゼントされたの。そして、ある“約束”をしたんだけど...突然、謎の怪物が現れてみんなを王国に閉じ込めちゃった...！！大ピンチ！と思ったら「ハートキャッチプリキュア！」のみんなが駆けつけてくれて、わたしたちのやる気もパワーアップ！,14.jpg
15,ＣＵＢＥ　一度入ったら、最後,突然閉じ込められた男女6人。エンジニア、団体職員、フリーター、中学生、整備士、会社役員。彼らには何の接点もつながりもない。理由もわからないまま、脱出を試みる彼らを、熱感知式レーザー、ワイヤースライサーや火炎噴射など、殺人的なトラップが次々と襲う。仕掛けられた暗号を解明しなくては、そこから抜け出すことは絶対にできない。体力と精神力の限界、極度の緊張と恐怖と不安、そして徐々に表れていく人間の本性…恐怖と不信感の中、終わりが見えない道のりを、それでも「生きる」ためにひたすら進んでいく。果たして彼らは無事に脱出することはできるのか？！,15.jpg
16,燃えよ剣,武州多摩の“バラガキ”土方歳三は、「武士になる」という熱い夢を胸に、近藤勇、沖田総司ら同志と共に京都へ向かう。徳川幕府の後ろ盾のもと、芹沢鴨を局長に擁し、市中を警護する新選組を結成。土方は副長として類まれな手腕と厳しい法度で組織を統率、新選組は倒幕派勢力制圧に八面六臂の活躍を見せる。お雪と運命的に出会い惹かれあう土方だったが、時流は倒幕へ傾いていき―――剣を手に命を燃やした男たちの知られざる【愛】と【戦い】が、今幕を開ける！,16.jpg
17,劇場版　抱かれたい男１位に脅されています。～スペイン編～,フラメンコを取り入れた二人舞台「血の婚礼」で共演が決まった東谷と高人。さっそく舞台の練習に励む高人だったが、フラメンコの練習中に東谷との才能の差を実感してしまう。そこで高人は“情熱”を学ぶべく東谷の故郷であるスペインへ飛ぶことに。一方、東谷は過去に高人から一方的に別れを告げられたことが心に引っかかったままで......。,17.jpg
18,００７／ノー・タイム・トゥ・ダイ,ボンドは現役を退き、ジャマイカで穏やかな日々を過ごしていた。しかし、それは長くは続かない。ある日、旧友でもあり、CIAエージェントのフェリックス・ライターは、誘拐された科学者を救い出してほしいとボンドのもとを訪ねる。その想像を超える過酷なミッションよって、ボンドは危険な最新技術を操る正体不明の敵へと導かれていくのであった…。,18.jpg
19,総理の夫,ある日の朝、鳥類学者の相馬日和（田中圭）は少数野党の党首を務めている最愛の妻・凛子（中谷美紀）から意味深な話を投げかけられた。「ねぇ日和くん、もしも私が総理大臣になったら、何かあなたに不都合はある？」聞き返してもはぐらかされ、野鳥観察の出張に出た日和。ろくに電波の届かない孤島で十日間を過ごしているうちに……、なんと彼女は、この国の未来をすっかり変えてしまっていた！史上初の女性内閣総理大臣に選出された凜子。時を同じく、突然「総理の夫」となってしまった日和。微力ながら彼女の夢を全力で応援しようくらいに思っていた日和であったが、予想だにしなかった激動の日々に巻き込まれていく……！！,19.jpg
20,科捜研の女　－劇場版－,榊マリコをはじめとする“科捜研”のスペシャリストたち、捜査一課の土門刑事、解剖医の風丘教授らがスクリーンを舞台に挑むのは＜世界同時多発不審死事件＞。京都を皮切りに世界中に拡がる死の連鎖。シリーズ史上最難関の事件、現代最新科学では絶対に解き明かせないトリックを操る＜史上最強の敵＞。スクリーンに散りばめられた謎を解かなければ、死の連鎖は止められない。究極の決断を迫られた榊マリコが最後にとった行動とは――,20.jpg
